Constituency,ONSConstID,Constituency,Region,CON_GE19,LAB_GE19,LIBDEM_GE19,GRN_GE19,SNP_GE19,PC_GE19,BXP_GE19,UKIP_GE19,OTHER_GE19,Registered Voters_GE19,Turnout_GE19,Winner_GE19
Houghton & Sunderland South,E14000754,Houghton & Sunderland South,North East,13095,16210,2319,1125,,,6165,897,0,"68,828",0.58,Labour
Newcastle upon Tyne Central,E14000831,Newcastle upon Tyne Central,North East,9290,21568,2709,1365,,,2542,,0,"57,845",0.65,Labour
Newcastle upon Tyne East,E14000832,Newcastle upon Tyne East,North East,10586,26049,4535,2195,,,,,0,"63,796",0.68,Labour
Newcastle upon Tyne North,E14000833,Newcastle upon Tyne North,North East,15589,21354,4357,1368,,,4331,,0,"68,486",0.69,Labour
Sunderland Central,E14000982,Sunderland Central,North East,15372,18336,3025,1212,,,5047,,484,"72,672",0.60,Labour
Washington & Sunderland West,E14001020,Washington & Sunderland West,North East,12218,15941,2071,1005,,,5439,839,0,"66,273",0.57,Labour
Halton,E14000725,Halton,North West,10358,29333,1800,982,,,3730,,0,"71,930",0.64,Labour
Basildon & Billericay,E14000544,Basildon & Billericay,East,29590,9178,3741,1395,,,,,224,"69,906",0.63,Conservative
Broxbourne,E14000606,Broxbourne,East,30631,10824,3970,1281,,,,,0,"73,182",0.64,Conservative
Jarrow,E14000765,Jarrow,North East,11243,18363,2360,831,,,4122,,3817,"65,103",0.63,Labour
Makerfield,E14000805,Makerfield,North West,"15,214","19,954","2,108","1,166",,,"5,817",,0,"74,190",0.60,Labour
Middlesbrough,E14000819,Middlesbrough,North East,8812,17202,816,546,,,216,,4548,"60,759",0.53,Labour
South Shields,E14000944,South Shields,North East,7688,17273,1514,1303,,,6446,,3658,"62,793",0.60,Labour
Wigan,E14001039,Wigan,North West,14314,21042,2428,1299,,,5959,,0,"75,680",0.60,Labour
Workington,E14001053,Workington,North West,20488,16312,1525,596,,,1749,,929,"61,370",0.68,Conservative
Down North,N06000013,Down North,Northern Ireland,1959,,,,,,,,38684,"67,099",0.61,OTHER
Rutherglen & Hamilton West,S14000056,Rutherglen & Hamilton West,Scotland,8054,18545,2791,,23775,,,629,0,"80,918",0.66,SNP
Darlington,E14000658,Darlington,North East,"20,901","17,607","2,097","1,057",,,"1,544",,292,"66,395",0.66,Conservative
Nuneaton,E14000868,Nuneaton,West Midlands,27390,14246,1862,1692,,,,,0,"70,226",0.64,Conservative
Kilmarnock & Loudoun,S14000040,Kilmarnock & Loudoun,Scotland,11557,9009,2444,,24216,,,,405,"74,517",0.64,SNP
Swansea West,W07000047,Swansea West,Wales,10377,18493,2993,,,1984,1983,,0,"57,078",0.63,Labour
Battersea,E14000549,Battersea,London,21622,27290,9150,1529,,,386,,0,"79,309",0.76,Labour
Birkenhead,E14000559,Birkenhead,North West,5540,24990,1620,1405,,,1489,,7285,"63,762",0.66,Labour
Blackburn,E14000570,Blackburn,North West,10736,29040,1130,741,,,2770,,319,"71,228",0.63,Labour
Blaydon,E14000574,Blaydon,North East,14263,19794,3703,1279,,,5833,,809,"67,853",0.67,Labour
Bootle,E14000581,Bootle,North West,4510,39066,1822,1166,,,2610,,0,"74,832",0.66,Labour
Bracknell,E14000586,Bracknell,South East,31894,12065,7749,2089,,,,,553,"79,206",0.69,Conservative
Burnley,E14000609,Burnley,North West,15720,14368,3501,739,,,3362,,1294,"64,343",0.61,Conservative
Burton,E14000610,Burton,West Midlands,29560,15064,2681,1433,,,,,0,"75,030",0.65,Conservative
Bury North,E14000611,Bury North,North West,21660,21555,1584,802,,,1240,,0,"68,802",0.68,Conservative
Bury South,E14000612,Bury South,North West,22034,21632,2315,848,,,1672,,1773,"75,152",0.67,Conservative
Cannock Chase,E14000618,Cannock Chase,West Midlands,31636,11757,,2920,,,,,0,"74,813",0.62,Conservative
Carlisle,E14000620,Carlisle,North West,23659,15340,2829,,,,,1045,0,"65,105",0.66,Conservative
Castle Point,E14000622,Castle Point,East,33971,7337,2969,,,,,,0,"69,643",0.64,Conservative
Surrey East,E14000681,Surrey East,South East,35624,8247,11584,2340,,,,,1895,"83,148",0.72,Conservative
Folkestone & Hythe,E14000704,Folkestone & Hythe,South East,35483,14146,5755,2706,,,,,915,"88,273",0.67,Conservative
Fylde,E14000706,Fylde,North West,"28,432","11,821","3,748","1,731",,,,,927,"66,847",0.70,Conservative
Gateshead,E14000709,Gateshead,North East,"13,250","20,450","2,792","1,653",,,,,0,"64,449",0.59,Labour
Harlow,E14000729,Harlow,East,27510,13447,2397,,,,,,0,"68,078",0.64,Conservative
Hartlepool,E14000733,Hartlepool,North East,11869,15464,1696,,,,10603,,1405,"70,855",0.58,Labour
Hertsmere,E14000745,Hertsmere,East,32651,11338,6561,1653,,,,,0,"73,971",0.71,Conservative
Huntingdon,E14000757,Huntingdon,East,32386,13003,9432,2233,,,,,2093,"84,657",0.70,Conservative
Kettering,E14000769,Kettering,East Midlands,"29,787","13,022","3,367","1,543",,,,,"1,642","73,187",0.67,Conservative
Hull North,E14000772,Hull North,Yorkshire and The Humber,9440,17033,2084,875,,,4771,,0,"65,515",0.52,Labour
