code,binned,age,sex,population_2015,population_2016,population_2017,population_2018
E06000001,"(15, 18]",102,9,3430,3391,3375,3217
E06000001,"(18, 25]",308,21,8014,8041,7764,7468
E06000001,"(25, 35]",610,30,11413,11541,11786,11998
E06000001,"(35, 45]",810,30,10749,10610,10355,10398
E06000001,"(45, 55]",1010,30,13730,13664,13570,13304
E06000001,"(55, 65]",1210,30,11353,11458,11751,12069
E06000001,"(65, 90]",3900,75,16229,16444,16632,16895
E06000002,"(15, 18]",102,9,5246,5114,5027,4857
E06000002,"(18, 25]",308,21,16390,16626,16437,16011
E06000002,"(25, 35]",610,30,18629,19100,19348,19738
E06000002,"(35, 45]",810,30,15798,15609,15367,15243
E06000002,"(45, 55]",1010,30,18287,18186,17999,17479
E06000002,"(55, 65]",1210,30,15625,15866,16109,16529
E06000002,"(65, 90]",3900,75,20713,20950,21222,21325
E06000003,"(15, 18]",102,9,4781,4670,4527,4372
E06000003,"(18, 25]",308,21,10991,10781,10594,10303
E06000003,"(25, 35]",610,30,15355,15579,15772,16143
E06000003,"(35, 45]",810,30,15022,14804,14551,14386
E06000003,"(45, 55]",1010,30,20093,19939,19848,19601
E06000003,"(55, 65]",1210,30,17361,17553,17801,18401
E06000003,"(65, 90]",3900,75,27511,27941,28380,28743
E06000004,"(15, 18]",102,9,6993,6864,6797,6527
E06000004,"(18, 25]",308,21,17382,17146,16538,15478
E06000004,"(25, 35]",610,30,25530,25704,25783,26365
E06000004,"(35, 45]",810,30,23907,23696,23492,23540
E06000004,"(45, 55]",1010,30,28253,28204,28117,27871
E06000004,"(55, 65]",1210,30,23209,23551,24036,24738
E06000004,"(65, 90]",3900,75,31685,32378,32905,33477
E06000005,"(15, 18]",102,9,3821,3742,3535,3445
E06000005,"(18, 25]",308,21,7910,7894,7627,7527
E06000005,"(25, 35]",610,30,13035,12975,12917,13038
E06000005,"(35, 45]",810,30,13585,13412,13190,13027
E06000005,"(45, 55]",1010,30,15458,15642,15661,15520
E06000005,"(55, 65]",1210,30,12758,12850,13156,13458
E06000005,"(65, 90]",3900,75,19324,19707,20117,20371
E06000006,"(15, 18]",102,9,4574,4532,4413,4362
E06000006,"(18, 25]",308,21,10427,10330,9976,9859
E06000006,"(25, 35]",610,30,16165,16258,16361,16415
E06000006,"(35, 45]",810,30,16258,16068,15764,15708
E06000006,"(45, 55]",1010,30,17951,17959,18091,17991
E06000006,"(55, 65]",1210,30,16164,16198,16256,16572
E06000006,"(65, 90]",3900,75,19985,20655,21259,21797
E06000007,"(15, 18]",102,9,7455,7366,7291,7158
E06000007,"(18, 25]",308,21,16012,15871,15295,15032
E06000007,"(25, 35]",610,30,26656,26765,26907,26515
E06000007,"(35, 45]",810,30,28113,27713,27311,26968
E06000007,"(45, 55]",1010,30,31778,32221,32405,32292
E06000007,"(55, 65]",1210,30,23668,23920,24512,25210
E06000007,"(65, 90]",3900,75,34612,35494,36170,36681
E06000008,"(15, 18]",102,9,6222,6131,6011,6013
E06000008,"(18, 25]",308,21,12941,12998,12876,12823
E06000008,"(25, 35]",610,30,20854,20790,20557,20374
E06000008,"(35, 45]",810,30,19349,19272,19275,19367
E06000008,"(45, 55]",1010,30,19651,19753,19806,19860
E06000008,"(55, 65]",1210,30,15223,15351,15650,15897
E06000008,"(65, 90]",3900,75,19430,19792,19935,20117
E06000009,"(15, 18]",102,9,5122,4945,4660,4541
E06000009,"(18, 25]",308,21,11652,11606,11356,10989
E06000009,"(25, 35]",610,30,16543,16666,16884,17095
E06000009,"(35, 45]",810,30,16481,16143,15664,15165
E06000009,"(45, 55]",1010,30,21262,21231,21271,20895
E06000009,"(55, 65]",1210,30,16835,17059,17297,17724
E06000009,"(65, 90]",3900,75,26873,26936,27038,26933
E06000010,"(15, 18]",102,9,8850,8260,7980,7912
E06000010,"(18, 25]",308,21,31553,31449,30630,29737
E06000010,"(25, 35]",610,30,39503,40590,41792,42212
E06000010,"(35, 45]",810,30,31970,31791,31368,31078
E06000010,"(45, 55]",1010,30,34186,33808,33521,33012
E06000010,"(55, 65]",1210,30,26911,27345,27745,28387
E06000010,"(65, 90]",3900,75,35721,36032,36296,36529
E06000011,"(15, 18]",102,9,11775,11530,11235,10868
E06000011,"(18, 25]",308,21,22212,22086,21260,20637
E06000011,"(25, 35]",610,30,31513,31275,31128,31578
E06000011,"(35, 45]",810,30,40067,39051,38096,37206
E06000011,"(45, 55]",1010,30,51633,51869,51970,51799
E06000011,"(55, 65]",1210,30,47124,47155,47840,48963
E06000011,"(65, 90]",3900,75,77506,79667,81264,82869
E06000012,"(15, 18]",102,9,5732,5499,5323,5180
E06000012,"(18, 25]",308,21,13248,12841,12166,11802
E06000012,"(25, 35]",610,30,20229,20418,20647,20654
E06000012,"(35, 45]",810,30,18848,18485,18032,17722
E06000012,"(45, 55]",1010,30,23071,22975,22901,22674
E06000012,"(55, 65]",1210,30,19045,19271,19704,20197
E06000012,"(65, 90]",3900,75,29348,29736,30129,30521
E06000013,"(15, 18]",102,9,5763,5731,5665,5635
E06000013,"(18, 25]",308,21,12795,12662,12132,11849
E06000013,"(25, 35]",610,30,20432,20548,20727,20922
E06000013,"(35, 45]",810,30,20293,19952,19723,19572
E06000013,"(45, 55]",1010,30,25306,25481,25437,25238
E06000013,"(55, 65]",1210,30,21912,22143,22495,22941
E06000013,"(65, 90]",3900,75,31865,32694,33324,33892
E06000014,"(15, 18]",102,9,6852,6659,6589,6443
E06000014,"(18, 25]",308,21,31427,31379,31874,32754
E06000014,"(25, 35]",610,30,27325,28063,28347,28963
E06000014,"(35, 45]",810,30,24681,24316,23984,23582
E06000014,"(45, 55]",1010,30,26635,26810,26794,26618
E06000014,"(55, 65]",1210,30,21506,21645,21953,22511
E06000014,"(65, 90]",3900,75,34880,35411,35934,36280
E06000015,"(15, 18]",102,9,9199,9060,9110,8997
E06000015,"(18, 25]",308,21,26816,26899,26441,26004
E06000015,"(25, 35]",610,30,36122,36687,36607,36643
E06000015,"(35, 45]",810,30,32036,31929,31823,31509
E06000015,"(45, 55]",1010,30,33793,34078,34260,34083
E06000015,"(55, 65]",1210,30,24683,25096,25630,26321
E06000015,"(65, 90]",3900,75,38468,39090,39455,39624
E06000016,"(15, 18]",102,9,12969,12876,12889,12648
E06000016,"(18, 25]",308,21,51341,52676,53662,54802
E06000016,"(25, 35]",610,30,55005,55952,56937,56916
